PC1,PC2,action
-0.35257632,0.10995799,0
-0.35403216,0.10830811,2
-0.35033032,0.10414398,0
-0.35180756,0.10246238,2
-0.3501985,0.09865117,3
-0.35147324,0.09634626,2
-0.35055083,0.093993485,2
-0.34951147,0.091347545,2
-0.34453943,0.089208275,1
-0.34597117,0.088006675,2
-0.3420184,0.083955824,3
-0.34339228,0.081789166,2
-0.3418947,0.07961339,2
-0.33986643,0.07708669,2
-0.33596802,0.07458514,1
-0.33751655,0.07380471,0
-0.33896136,0.07207832,2
-0.33750564,0.070564926,2
-0.33638543,0.06780696,2
-0.33314538,0.06557199,1
-0.33461356,0.064279765,2
-0.33223817,0.06144643,3
