PC1,PC2,action
-0.11680395,-0.41533595,2
-0.11357585,-0.4175466,2
0.5413517,-0.16068475,0
0.5388992,-0.16124578,0
0.5365093,-0.16183937,2
0.5388423,-0.16182008,0
0.5359016,-0.1620346,2
1.1876388,0.094615944,0
0.5419729,-0.16384818,0
1.191633,0.09521734,0
1.1958236,0.09497921,0
1.1997601,0.09516499,0
1.2013235,0.096404664,0
1.203293,0.09665705,0
1.2044778,0.09686883,0
1.2047534,0.09700963,0
1.2042453,0.097069554,0
1.2032404,0.09706089,0
1.2020779,0.097010195,0
1.2010559,0.09694872,0
1.2003672,0.096902974,0
1.2000773,0.096888974,0
1.1988915,0.09676519,0
1.1988693,0.09679435,0
1.1988769,0.09681082,0
1.198877,0.09681219,0
1.1988771,0.09680758,0
1.1988771,0.09680406,0
1.1988771,0.09680332,0
1.1988771,0.09680396,0
1.1988771,0.09680463,0
1.1988771,0.09680485,0
1.1988771,0.09680481,0
1.1988771,0.096804686,0
1.1988771,0.09680466,0
1.1988771,0.09680466,0
1.1988771,0.096804686,0
1.1988771,0.096804686,0
1.1988771,0.096804686,0
1.1988771,0.096804686,0
1.1988771,0.096804686,0
1.1988771,0.096804686,0
1.1988771,0.096804686,0
1.1988771,0.096804686,0
1.1988771,0.096804686,0
1.1988771,0.096804686,0
-0.4415539,0.42155272,0
-0.44428396,0.41962874,0
-0.44701555,0.4173581,0
-0.4496076,0.41473004,0
-0.4520595,0.41174436,0
-0.4543718,0.40840116,0
-0.45654452,0.4047006,0
-0.45857763,0.40064245,0
-0.46047097,0.39622703,0
-0.46222475,0.39145392,0
-0.46383902,0.38632333,0
-0.4653137,0.38083544,0
-0.4666486,0.37498987,0
-0.46784404,0.3687869,0
-0.4688998,0.36222637,0
-0.4698159,0.3553083,0
-0.47059247,0.34803298,0
-0.4712294,0.3404002,0
-0.47172678,0.33240977,0
-0.47208443,0.32406184,2
-0.46483466,0.31535387,0
-0.4652011,0.30698144,2
-0.45706314,0.2982775,0
-0.45747212,0.2899691,2
-0.45402256,0.28133938,2
-0.44708705,0.27301633,0
-0.44750148,0.2647307,2
-0.44069865,0.25659013,0
-0.44111434,0.24835488,2
-0.43307102,0.2399209,0
-0.43352976,0.23177294,2
-0.42612723,0.22384816,0
-0.42661333,0.21582629,2
-0.41900858,0.20814669,0
-0.41953298,0.20029844,2
-0.41196024,0.1924558,3
-0.41248766,0.18430974,2
-0.40375033,0.17655234,0
-0.40438643,0.16908875,0
-0.4048828,0.16126765,2
-0.40101853,0.15363818,2
-0.39674884,0.14598517,2
-0.39400578,0.13854575,2
-0.388334,0.13099454,2
-0.37965903,0.12391883,1
-0.3803935,0.11748503,2
-0.37505084,0.11012704,2
-0.3709515,0.10330919,2
-0.36318725,0.09667515,0
-0.36413133,0.09016616,2
-0.3589744,0.083051324,2
-0.3547571,0.07653231,0
-0.35570696,0.06997975,2
-0.3497871,0.063550375,2
-0.34641448,0.057205502,2
-0.33950913,0.050949786,0
-0.34064364,0.044941474,2
-0.3323148,0.038681444,0
-0.3335309,0.03286588,2
-0.3285893,0.026732447,1
-0.32975897,0.021116035,2
-0.32434464,0.015080314,2
-0.3206961,0.008884809,2
-0.31245065,0.0032828783,0
-0.3138672,-0.002073662,2
-0.3092384,-0.007996394,0
-0.31059936,-0.013549833,2
